"Субъект РФ","Зарегистрированно преступлений на 10000 чел., за 2022 год","Процент населения в возрасте старше трудоспособного","Уровень безработицы","Количество спортивных сооружений на 1000 человек","Количество собственных легковых автомобилей на 1000 человек населения по субъектам Российской Федерации","Прожиточный минимум","Ожидаемая продолжительность жизни при рождении (число лет)"
"Алтайский край","172.72","25.40","3.80","2.35","364.17","11262.00","69.96"
"Амурская область","210.39","21.10","4.10","2.50","312.44","14704.00","68.17"
"Архангельская область","156.91","26.50","5.40","2.01","341.42","14679.00","70.93"
"Астраханская область","117.22","22.00","7.10","1.42","300.37","12274.00","71.80"
"Белгородская область","95.23","26.30","3.70","2.87","336.29","10629.00","73.03"
"Брянская область","115.93","26.20","3.20","1.85","213.61","11934.00","71.22"
"Владимирская область","122.80","27.80","2.60","2.06","315.61","12274.00","70.80"
"Волгоградская область","147.08","25.20","3.50","1.56","427.82","10882.00","73.24"
"Вологодская область","152.80","25.20","3.40","1.44","357.44","12781.00","71.56"
"Воронежская область","133.15","27.10","3.50","2.50","362.43","10756.00","72.45"
"Еврейская автономная область","205.68","22.00","4.90","2.35","293.78","17053.00","67.70"
"Забайкальский край ","199.49","19.30","8.70","1.50","318.65","14805.00","67.75"
"Ивановская область","120.70","27.80","3.20","1.79","347.18","11642.00","70.57"
"Иркутская область","160.65","21.70","5.00","1.45","270.34","13413.00","69.31"
"Кабардино-Балкарская
Республика","85.19","18.30","10.10","1.70","275.34","13540.00","75.51"
"Калининградская область","123.04","23.60","3.10","1.61","370.30","13034.00","73.07"
"Калужская область","144.70","25.80","3.90","1.54","296.61","12148.00","72.48"
"Камчатский край","174.29","19.30","2.90","1.74","576.22","22930.00","68.77"
"Карачаево-Черкесская
Республика","95.56","20.00","9.90","1.30","206.70","11515.00","75.32"
"Кемеровская область","180.75","24.30","4.10","2.09","327.73","11515.00","69.64"
"Кировская область","149.98","29.00","3.80","1.62","310.40","11262.00","71.31"
"Костромская область","131.90","28.10","3.30","2.04","328.96","11691.00","69.90"
"Краснодарский край","135.61","24.20","3.60","1.46","305.22","12148.00","72.92"
"Красноярский край ","159.91","22.00","2.70","1.65","304.98","14046.00","70.58"
"Курганская область","167.05","28.40","6.30","2.80","427.40","11895.00","69.88"
"Курская область","124.11","27.20","2.90","1.72","329.55","11009.00","71.54"
"Ленинградская область","149.45","25.10","3.40","1.45","298.83","12781.00","73.33"
"Липецкая область","125.17","26.40","3.70","2.58","389.68","10503.00","72.12"
"Магаданская область","173.19","19.30","4.10","2.20","391.01","22018.00","68.45"
"Москва","109.36","26.30","2.30","1.63","282.27","18714.00","78.17"
"Московская область","95.32","22.30","3.10","0.70","323.09","14748.00","73.78"
"Мурманская область","166.68","21.00","4.70","1.29","409.96","20227.00","70.16"
"Ненецкий автономный округ ","154.02","18.20","7.40","3.31","229.01","23108.00","70.74"
"Нижегородская область","125.32","26.50","4.10","1.63","427.59","11895.00","71.49"
"Новгородская область","181.10","27.40","3.10","2.23","346.35","12401.00","70.45"
"Новосибирская область","168.38","23.70","4.70","1.33","351.68","12775.00","71.49"
"Омская область","122.76","24.60","5.30","2.15","275.66","11305.00","71.45"
"Оренбургская область","112.97","24.50","3.50","2.13","427.70","11009.00","71.24"
"Орловская область","115.43","27.80","4.00","1.74","350.32","11768.00","70.73"
"Пензенская область","104.19","28.10","3.70","2.69","336.90","10629.00","72.07"
"Пермский край ","160.46","23.80","3.40","1.59","357.37","11642.00","70.90"
"Приморский край ","180.37","23.40","3.30","1.60","491.90","15058.00","69.71"
"Псковская область","142.07","28.20","3.90","1.71","398.30","12527.00","68.95"
"Республика Адыгея","93.69","22.70","7.10","1.84","412.45","10882.00","73.60"
"Республика Алтай","206.99","17.60","9.70","1.60","245.42","11895.00","68.47"
"Республика Башкортостан","126.82","23.10","3.40","2.45","392.08","11009.00","72.98"
"Республика Бурятия","203.08","19.20","7.40","1.77","271.60","13793.00","69.35"
"Республика Дагестан","45.52","13.20","12.10","1.03","207.32","11515.00","78.22"
"Республика Ингушетия","42.61","8.80","30.00","0.74","181.72","11895.00","78.34"
"Республика Калмыкия","100.58","21.50","8.10","1.88","336.29","11768.00","73.49"
"Республика Карелия ","196.50","27.60","5.80","2.06","455.41","15104.00","69.03"
"Республика Коми ","184.16","23.20","6.60","1.82","346.31","15368.00","69.94"
"Республика Крым","109.57","25.60","5.00","1.23","223.23","12274.00","71.97"
"Республика Марий Эл ","115.29","24.70","3.60","2.14","255.83","11136.00","71.90"
"Республика Мордовия ","105.19","27.80","3.60","2.19","337.64","10756.00","73.16"
"Республика Саха (Якутия)","131.03","15.80","6.50","1.52","229.22","19108.00","72.67"
"Республика Северная
Осетия-Алания ","117.20","21.80","11.90","1.78","323.26","11389.00","74.70"
"Республика Татарстан ","134.29","23.60","2.30","1.50","282.31","10756.00","74.92"
"Республика Тыва ","199.00","10.20","9.50","2.04","167.35","12781.00","67.11"
"Республика Хакасия ","179.68","22.30","3.30","1.73","442.02","12907.00","70.57"
"Ростовская область","137.82","25.20","3.50","2.02","334.69","11895.00","72.00"
"Рязанская область","84.36","28.40","2.90","1.85","399.65","11262.00","72.14"
"Самарская область","150.27","25.70","2.70","1.39","319.43","11895.00","72.14"
"Санкт Петербург","117.10","25.00","2.00","0.96","290.20","13160.20","75.77"
"Саратовская область","123.68","26.30","3.40","1.40","331.39","10629.00","72.85"
"Сахалинская область","175.78","23.00","4.20","1.87","355.43","17209.00","70.37"
"Свердловская область","121.52","24.00","3.50","1.70","441.98","12274.00","71.31"
"Севастополь","120.08","22.80","4.00","0.64","261.88","12654.00","74.57"
"Смоленская область","160.59","27.50","3.40","2.68","263.90","12148.00","70.35"
"Ставропольский край ","120.74","22.70","4.30","1.49","259.57","11389.00","74.29"
"Тамбовская область","140.66","29.40","3.30","3.72","387.25","11100.00","72.01"
"Тверская область","173.57","27.90","3.70","2.93","407.63","12148.00","69.94"
"Томская область","173.90","22.50","5.40","1.45","317.00","12731.00","72.33"
"Тульская область","110.47","29.00","3.60","1.38","372.37","12401.00","71.86"
"Тюменская область","151.99","22.10","4.00","1.70","345.16","12654.00","73.59"
"Удмуртская Республика ","165.60","23.90","2.90","1.71","306.76","11262.00","72.13"
"Ульяновская область","100.99","27.60","4.20","1.50","323.98","11262.00","71.34"
"Хабаровский край ","164.07","22.00","2.60","1.75","308.22","16871.00","69.96"
"Ханты-Мансийский автономный
округ","119.70","15.80","2.00","1.40","378.72","16932.00","75.41"
"Челябинская область","183.83","24.20","3.10","1.59","373.52","11887.00","72.16"
"Чеченская Республика ","15.93","9.80","11.00","1.21","200.36","12148.00","74.61"
"Чувашская Республика","106.22","24.40","3.20","2.83","246.59","10756.00","72.49"
"Чукотский автономный округ","170.46","12.90","1.90","1.57","117.27","28851.00","66.20"
"Ямало-Ненецкий автономный
округ","120.57","12.30","1.60","1.72","352.40","18029.00","74.82"
"Ярославская область","149.65","26.70","5.00","1.60","308.04","11895.00","71.55"
